,index,url,표제어,단어1,단어2,단어3,단어4,단어5,단어6,단어7,단어8,단어9,단어10,단어11,단어12,확률1,확률2,확률3,확률4,확률5,확률6,확률7,확률8,확률9,확률10,확률11,확률12
0,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRwf9Mu69KzM8NYC3neH5H34fdeO_7LFoaftzgf14PvHjLeDvAM0eRt-JoknHA&s,가건물,temporary building,makeshift building,,,,,,,,,,,0.999437034,0.000563004,,,,,,,,,,
1,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSk4XS-WBZl1cpLj7hITX3kQdNWAcf9pI9vb5gUeB1BTimkqFup9zjPFWACOKA&s,가건물,temporary building,makeshift building,,,,,,,,,,,0.997246504,0.002753518,,,,,,,,,,
2,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0xOzyB0cNawHoZdiPhkN353eK7A5V3SanIcO4IlM2RAj5WqbdjXUs864GtA&s,가건물,temporary building,makeshift building,,,,,,,,,,,0.995326877,0.004673129,,,,,,,,,,
3,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRl652T9AZXxa9TImFX2N6cETog8LGFx9gZkb8nTME5kpCjELMRXCFP8gMFYw&s,가건물,temporary building,makeshift building,,,,,,,,,,,0.996320248,0.00367981,,,,,,,,,,
4,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFjBvMzEVMRFwm_MV6ktLtcDpPrnAf2YfjpRxhd58bizwTivuaf2b46lO4hQg&s,가건물,temporary building,makeshift building,,,,,,,,,,,0.994051039,0.005948993,,,,,,,,,,
5,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZlpSyoLuaNH1G3nfBCxEE0s2vFNoOzemA-_R6wopSVFARqotgmKyfAj2ftA&s,가건물,temporary building,makeshift building,,,,,,,,,,,0.992357433,0.007642535,,,,,,,,,,
6,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrNLSgpb1j1mGTHgcHZp40tJ5gLqjATwJbgNroTJPiSp2UE1rAuF3JiLp2kw&s,가건물,temporary building,makeshift building,,,,,,,,,,,0.830243647,0.169756413,,,,,,,,,,
7,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8eM-CVt_erRgHUeZlVq4yjplKd0OI0a8EvLPIpVNtDpRESixsDA4isjZFnQ&s,가건물,temporary building,makeshift building,,,,,,,,,,,0.993885696,0.006114288,,,,,,,,,,
8,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcsko1LqAgWtcjS3o8UY1ZC-hoKrbc3z4GTCwh6T1vZIiWvzFHu6TjLzk3uw&s,가건물,temporary building,makeshift building,,,,,,,,,,,0.96250087,0.037499089,,,,,,,,,,
9,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSuWiD-cKZQ3iFLukBmWgsayOzuEyQwwV88foGX6_mCC7T1f2PunJV_rzKzvA&s,가건물,temporary building,makeshift building,,,,,,,,,,,0.987460673,0.012539358,,,,,,,,,,
10,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsqOPdZ2i1AoDupNyeliLdGWdYYek78s8kjsGLRhddikBNIOKtjkbXt2T0xg&s,가건물,temporary building,makeshift building,,,,,,,,,,,0.99825877,0.001741176,,,,,,,,,,
11,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTs_OZ21fiL5bbVdqfruVsKk-LXOkIxWFmiwRVa70bZe_4eP2rGi2S2dorG0Q&s,가건물,temporary building,makeshift building,,,,,,,,,,,0.887569904,0.112430014,,,,,,,,,,
12,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNEBoR8Ve97itwucuuZdVFSdeF5Z8VSjtvCh2fBrzcukJCASwbLpaf_yPEXw&s,가건물,temporary building,makeshift building,,,,,,,,,,,0.961882174,0.038117878,,,,,,,,,,
13,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_n27aUkNnfSLvzQFOYrH1TumGGDMU3mFdRj2lwvyUkQwfK4qDfzT-wnd90kM&s,가건물,temporary building,makeshift building,,,,,,,,,,,0.764962912,0.235037044,,,,,,,,,,
14,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRPt9yvl359KKSYovFRs35CzOgfqahsmL-qUrVLqU8SojlgnfHHZ_9dIOqtQw&s,가건물,temporary building,makeshift building,,,,,,,,,,,0.995601654,0.004398394,,,,,,,,,,
